track_popularity,playlist_name,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
68,21,0.689,7,1,0.0678,0.145,1.03e-05,0.459,0.651,125.115,180485.0
72,21,0.676,9,1,0.128,0.221,0.00627,0.515,0.447,124.012,194618.0
70,21,0.686,0,0,0.131,0.329,0.0,0.136,0.699,124.206,197876.0
58,21,0.763,9,1,0.0378,0.0106,3.58e-06,0.0321,0.759,105.027,178512.0
67,21,0.6,0,1,0.0488,0.0688,0.0,0.151,0.641,128.044,180820.0
62,21,0.691,0,1,0.0577,0.00828,3.8e-06,0.402,0.34,125.983,158095.0
56,21,0.63,0,1,0.0978,0.0717,0.0,0.108,0.499,122.055,196475.0
65,21,0.734,6,0,0.0863,0.0328,0.0,0.197,0.654,120.056,218480.0
51,21,0.605,11,0,0.0488,0.0673,0.0,0.54,0.165,124.024,214641.0
54,21,0.609,1,1,0.0796,0.00959,0.000155,0.15,0.342,127.977,181875.0
61,21,0.733,1,0,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533.0
76,21,0.43,4,0,0.0431,0.131,0.0,0.173,0.123,169.988,211680.0
83,21,0.661,5,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805.0
63,21,0.752,1,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216.0
70,21,0.704,11,1,0.0541,0.00553,0.0011,0.079,0.531,125.027,157000.0
70,21,0.655,9,0,0.0501,0.338,0.0,0.0971,0.61,94.05,184653.0
56,21,0.732,0,1,0.107,0.00719,1.49e-05,0.34,0.643,123.033,177073.0
65,21,0.619,7,1,0.0445,0.017,1.78e-06,0.347,0.668,119.981,169157.0
61,21,0.746,9,1,0.048,0.0485,0.0,0.195,0.403,114.955,174933.0
60,21,0.776,6,0,0.069,0.415,0.0,0.179,0.582,100.071,202520.0
63,21,0.621,10,1,0.0401,0.0976,1.08e-05,0.404,0.332,124.018,181040.0
54,21,0.767,0,1,0.0529,0.0216,5.88e-05,0.257,0.221,121.011,168636.0
70,21,0.655,1,1,0.0581,0.253,0.0,0.312,0.675,98.005,198880.0
6,21,0.638,5,1,0.0611,0.143,5.76e-05,0.094,0.271,103.081,181960.0
70,21,0.689,0,1,0.0933,0.158,0.0,0.138,0.312,99.017,217293.0
54,21,0.445,8,1,0.0575,0.158,2.21e-06,0.128,0.263,175.903,179500.0
